row,col,value
2,30,53.92844086885452
2,31,44.313857197761536
2,32,37.740936636924744
2,33,48.96029454469681
2,34,50.90271598100662
2,35,49.299508422613144
2,36,42.43679663538933
2,37,45.676171004772186
2,38,47.44702199101448
2,39,32.64339625835419
2,40,43.12256506085396
2,41,47.49192163348198
2,42,56.08889317512512
2,43,50.66163635253906
2,44,40.197045624256134
2,45,51.68043750524521
2,46,43.11974740028381
2,47,45.253728449344635
2,48,39.38083279132843
2,49,55.417115688323975
2,50,39.30446681380272
2,51,44.28429979085922
2,52,35.33157131075859
2,53,47.02726432681084
2,54,47.67498105764389
2,55,36.21460843086243
2,56,48.79557794332504
2,57,53.599975407123566
2,58,49.52925544977188
2,59,49.73902806639671
2,60,40.70848199725151
2,61,42.89917030930519
2,62,47.659467697143555
2,63,43.4836268723011
2,64,53.62948560714722
2,65,56.59296232461929
2,66,46.53031751513481
2,67,53.214537143707275
2,68,43.04366761445999
2,69,40.70794501900673
2,70,47.85981664061546
2,71,49.81504884362221
2,72,43.77567222714424
2,73,58.016320526599884
2,74,43.96494820713997
2,75,53.3897100687027
2,76,52.61598342657089
2,77,45.50282734632492
2,78,41.47007352113724
2,79,37.02921622991562
2,80,37.2388177216053
2,81,50.70828855037689
2,82,42.021025002002716
2,83,51.99682980775833
2,84,38.377524346113205
2,85,46.489126563072205
2,86,41.066516667604446
2,87,48.810156017541885
2,88,44.88958343863487
2,89,40.627560555934906
2,90,49.64321285486221
2,91,44.508441001176834
2,92,44.09528344869614
2,93,40.47999480366707
2,94,50.66702973842621
2,95,40.175613701343536
2,96,46.8247851729393
2,97,51.5431067943573
2,98,39.05697590112686
2,99,43.48516994714737
2,100,45.18430483341217
2,101,52.9777946472168
2,102,51.48495972156525
2,103,42.64978817105293
2,104,45.295078724622726
2,105,40.92560413479805
2,106,40.15669849514961
2,107,51.635248720645905
2,108,45.26341766119003
2,109,44.260746508836746
2,110,55.4489626288414
2,111,37.80485180020332
2,112,48.06909063458443
2,113,41.41819316148758
2,114,54.444642186164856
2,115,39.77691325545311
2,116,48.706545770168304
2,117,39.19571986794472
2,118,37.972400814294815
2,119,39.13832810521126
2,120,50.76121336221695
2,121,49.93743857741356
2,122,38.95040342211723
2,123,51.520677626132965
2,124,38.61348497867584
2,125,38.67375046014786
2,126,47.74164602160454
2,127,43.90532001852989
2,128,55.95038819313049
2,129,49.26282277703285
2,130,48.24337548017502
2,131,38.08998429775238
2,132,51.0061816573143
2,133,44.380480855703354
2,134,44.45178094506264
2,135,44.17477983236313
2,136,42.40630689263344
2,137,40.68525621294975
2,138,45.95713749527931
2,139,49.18717375397682
2,140,47.30350422859192
2,141,40.90816709399223
2,142,59.511226654052734
2,143,38.55349683761597
2,144,46.46349027752876
2,145,45.06781595945358
2,146,44.63167750835419
2,147,39.533302158117294
2,148,52.12833046913147
2,149,51.279810428619385
2,150,44.717325538396835
2,151,34.42179149389267
2,152,40.82207354903221
2,153,41.304197400808334
2,154,50.297447085380554
2,155,54.11681991815567
2,156,37.44810351729393
2,157,49.7493634223938
2,158,35.91183826327324
2,159,42.823730766773224
2,160,52.8009517788887
2,161,56.93679362535477
2,162,44.0535643696785
2,163,47.26968640089035
2,164,50.66299945116043
2,165,44.131579637527466
2,166,46.18048503994942
2,167,47.368000626564026
2,168,42.149483770132065
2,169,41.98061591386795
2,170,42.98674792051315
2,171,48.63546696305275
2,172,44.56700703501701
2,173,44.82948908209801
2,174,40.718908816576004
2,175,39.704202860593796
2,176,46.9249404668808
2,177,45.73355686664581
2,178,36.16190195083618
2,179,44.929334580898285
2,180,41.502203702926636
2,181,45.705887734889984
2,182,52.361561954021454
2,183,33.07811260223389
2,184,50.19489309191704
2,185,40.11856418848038
2,186,53.9518318772316
2,187,52.28388303518295
2,188,42.202479392290115
2,189,43.29502949118614
2,190,51.808964133262634
2,191,38.72434148192406
2,192,45.156868785619736
2,193,55.25374448299408
2,194,47.84079226851463
2,195,49.0175299346447
2,196,47.35492727160454
2,197,46.334181785583496
2,198,46.95097506046295
2,199,39.460196405649185
2,200,46.628372102975845
2,201,42.94945448637009
2,202,45.38208395242691
2,203,39.77197128534317
2,204,46.04427549242973
2,205,42.57991313934326
2,206,47.467323899269104
2,207,38.88195639848709
2,208,42.22136804461479
2,209,45.65137559175491
2,210,41.28127256035805
2,211,46.73143061995506
2,212,42.02914163470268
2,213,41.7523972094059
2,214,44.50177302956581
